Date,Gas_Stocks,Storage_Cap,Min_Target,High,Low
2023-01-16,48.9,99.5,17.9,0,0
2023-02-16,39.9,99.5,17.9,0,0
2023-03-16,32.6,99.2,17.9,0,0
2023-04-16,36.8,100,18,0,0
2023-05-16,44.6,103.6,18.6,0,0
2023-06-16,54.2,103.4,18.6,0,0
2023-07-16,64.2,103.3,18.6,0,0
2023-08-16,73.1,103.4,18.6,0,0
2023-09-16,79.2,103.5,18.6,0,0
2023-10-16,79.4,102.7,18.5,0,0
2023-11-16,71,102.7,18.5,0,0
2023-12-16,57.9,102.8,18.5,0,0
2023-01-17,38.4,103.1,18.6,0,0
2023-02-17,29.3,101,18.2,0,0
2023-03-17,26.7,100.9,18.2,0,0
2023-04-17,30.1,101.3,18.2,0,0
2023-05-17,38.4,100.9,18.2,0,0
2023-06-17,47.5,100.9,18.2,0,0
2023-07-17,57.9,101,18.2,0,0
2023-08-17,69.1,101.1,18.2,0,0
2023-09-17,75.2,101,18.2,0,0
2023-10-17,79.6,100.3,18.1,0,0
2023-11-17,72.6,100.4,18.1,0,0
2023-12-17,60.8,100.6,18.1,0,0
2023-01-18,47.4,101.1,18.2,0,0
2023-02-18,30.9,100.5,18.1,0,0
2023-03-18,21,100.5,18.1,0,0
2023-04-18,27.1,97.4,17.5,0,0
2023-05-18,37,100.3,18.1,0,0
2023-06-18,46.9,100.4,18.1,0,0
2023-07-18,56.5,100.6,18.1,0,0
2023-08-18,66.8,100.5,18.1,0,0
2023-09-18,74.6,100.6,18.1,0,0
2023-10-18,78.8,100.6,18.1,0,0
2023-11-18,73.7,100.6,18.1,0,0
2023-12-18,64.4,100.6,18.1,0,0
2023-01-19,49.2,100.6,18.1,0,0
2023-02-19,40.2,100.6,18.1,0,0
2023-03-19,38.2,100.7,18.1,0,0
2023-04-19,44.3,100.5,18.1,0,0
2023-05-19,53.8,100.4,18.1,0,0
2023-06-19,65.2,100.4,18.1,0,0
2023-07-19,74.1,100.6,18.1,0,0
2023-08-19,82.9,100.9,18.2,0,0
2023-09-19,88.7,100.8,18.1,0,0
2023-10-19,91,100.9,18.2,0,0
2023-11-19,87.7,101.6,18.3,0,0
2023-12-19,82,101.6,18.3,0,0
2023-01-20,67.1,101.6,18.3,0,0
2023-02-20,58,101.7,18.3,0,0
2023-03-20,53.3,101.6,18.3,0,0
2023-04-20,60,101.6,18.3,0,0
2023-05-20,69.1,101.4,18.3,0,0
2023-06-20,75.6,101.2,18.2,0,0
2023-07-20,81.1,101.4,18.2,0,0
2023-08-20,88.4,101.6,18.3,0,0
2023-09-20,89.4,101.8,18.3,0,0
2023-10-20,89.8,101.8,18.3,0,0
2023-11-20,83.6,101.9,18.3,0,0
2023-12-20,71.6,102,18.4,0,0
2023-01-21,52.4,102.1,18.4,0,0
