Date,Gas_Stocks,Storage_Cap,Min_Target,High,Low
Jan-16,48.9,99.5,17.9,0.0,0.0
Feb-16,39.9,99.5,17.9,0.0,0.0
Mar-16,32.6,99.2,17.9,0.0,0.0
Apr-16,36.8,100.0,18.0,0.0,0.0
May-16,44.6,103.6,18.6,0.0,0.0
Jun-16,54.2,103.4,18.6,0.0,0.0
Jul-16,64.2,103.3,18.6,0.0,0.0
Aug-16,73.1,103.4,18.6,0.0,0.0
Sep-16,79.2,103.5,18.6,0.0,0.0
Oct-16,79.4,102.7,18.5,0.0,0.0
Nov-16,71.0,102.7,18.5,0.0,0.0
Dec-16,57.9,102.8,18.5,0.0,0.0
Jan-17,38.4,103.1,18.6,0.0,0.0
Feb-17,29.3,101.0,18.2,0.0,0.0
Mar-17,26.7,100.9,18.2,0.0,0.0
Apr-17,30.1,101.3,18.2,0.0,0.0
May-17,38.4,100.9,18.2,0.0,0.0
Jun-17,47.5,100.9,18.2,0.0,0.0
Jul-17,57.9,101.0,18.2,0.0,0.0
Aug-17,69.1,101.1,18.2,0.0,0.0
Sep-17,75.2,101.0,18.2,0.0,0.0
Oct-17,79.6,100.3,18.1,0.0,0.0
Nov-17,72.6,100.4,18.1,0.0,0.0
Dec-17,60.8,100.6,18.1,0.0,0.0
Jan-18,47.4,101.1,18.2,0.0,0.0
Feb-18,30.9,100.5,18.1,0.0,0.0
Mar-18,21.0,100.5,18.1,0.0,0.0
Apr-18,27.1,97.4,17.5,0.0,0.0
May-18,37.0,100.3,18.1,0.0,0.0
Jun-18,46.9,100.4,18.1,0.0,0.0
Jul-18,56.5,100.6,18.1,0.0,0.0
Aug-18,66.8,100.5,18.1,0.0,0.0
Sep-18,74.6,100.6,18.1,0.0,0.0
Oct-18,78.8,100.6,18.1,0.0,0.0
Nov-18,73.7,100.6,18.1,0.0,0.0
Dec-18,64.4,100.6,18.1,0.0,0.0
Jan-19,49.2,100.6,18.1,0.0,0.0
Feb-19,40.2,100.6,18.1,0.0,0.0
Mar-19,38.2,100.7,18.1,0.0,0.0
Apr-19,44.3,100.5,18.1,0.0,0.0
May-19,53.8,100.4,18.1,0.0,0.0
Jun-19,65.2,100.4,18.1,0.0,0.0
Jul-19,74.1,100.6,18.1,0.0,0.0
Aug-19,82.9,100.9,18.2,0.0,0.0
Sep-19,88.7,100.8,18.1,0.0,0.0
Oct-19,91.0,100.9,18.2,0.0,0.0
Nov-19,87.7,101.6,18.3,0.0,0.0
Dec-19,82.0,101.6,18.3,0.0,0.0
Jan-20,67.1,101.6,18.3,0.0,0.0
Feb-20,58.0,101.7,18.3,0.0,0.0
Mar-20,53.3,101.6,18.3,0.0,0.0
Apr-20,60.0,101.6,18.3,0.0,0.0
May-20,69.1,101.4,18.3,0.0,0.0
Jun-20,75.6,101.2,18.2,0.0,0.0
Jul-20,81.1,101.4,18.2,0.0,0.0
Aug-20,88.4,101.6,18.3,0.0,0.0
Sep-20,89.4,101.8,18.3,0.0,0.0
Oct-20,89.8,101.8,18.3,0.0,0.0
Nov-20,83.6,101.9,18.3,0.0,0.0
Dec-20,71.6,102.0,18.4,0.0,0.0
Jan-21,52.4,102.1,18.4,0.0,0.0
Feb-21,39.1,102.1,18.4,0.0,0.0
Mar-21,32.8,102.1,18.4,0.0,0.0
Apr-21,32.2,102.1,18.4,0.0,0.0
May-21,38.4,102.1,18.4,0.0,0.0
Jun-21,46.4,102.1,18.4,0.0,0.0
Jul-21,53.6,102.1,18.4,0.0,0.0
Aug-21,62.0,102.1,18.4,0.0,0.0
Sep-21,67.8,102.1,18.4,0.0,0.0
Oct-21,69.9,102.1,18.4,0.0,0.0
Nov-21,61.4,102.1,18.4,0.0,0.0
Dec-21,51.1,102.1,18.4,0.0,0.0
Jan-22,34.6,102.1,18.4,67.1,38.4
Feb-22,27.9,102.1,18.4,58.0,29.3
Mar-22,25.0,102.1,18.4,53.3,21.0
Apr-22,30.0,102.1,18.4,60.0,27.1
May-22,41.4,102.1,18.4,69.1,37.0
Jun-22,51.3,102.1,18.4,75.6,46.4
Jul-22,60.5,102.1,18.4,81.1,53.6
Aug-22,69.8,102.1,18.4,88.4,62.0
Sep-22,76.2,102.1,18.4,89.4,67.8
Oct-22,82.1,102.1,18.4,91.0,69.9
Nov-22,81.2,102.1,18.4,87.7,61.4
Dec-22,71.6,103.2,18.6,82.0,51.1
Jan-23,62.9,103.5,18.6,67.1,38.4
Feb-23,54.0,103.5,18.6,58.0,29.3
Mar-23,47.2,103.5,18.6,53.3,21.0
Apr-23,48.5,103.5,18.6,60.0,27.1
May-23,55.6,103.5,18.6,69.1,37.0
Jun-23,63.1,103.5,18.6,75.6,46.4
Jul-23,69.6,103.5,18.6,81.1,53.6
Aug-23,75.5,103.5,18.6,88.4,62.0
Sep-23,79.5,103.5,18.6,89.4,67.8
Oct-23,81.6,103.5,18.6,91.0,69.9
Nov-23,71.5,103.5,18.6,87.7,61.4
Dec-23,55.2,107.2,19.3,82.0,51.1
Jan-24,38.0,107.2,19.3,67.1,38.4
Feb-24,24.5,107.2,19.3,58.0,29.3
Mar-24,18.4,107.2,19.3,53.3,21.0
Apr-24,19.6,107.2,19.3,60.0,27.1
May-24,27.2,107.2,19.3,69.1,37.0
Jun-24,35.7,107.2,19.3,75.6,46.4
Jul-24,44.1,107.2,19.3,81.1,53.6
Aug-24,51.8,107.2,19.3,88.4,62.0
Sep-24,57.4,107.2,19.3,89.4,67.8
Oct-24,60.9,107.2,19.3,91.0,69.9
Nov-24,53.4,107.2,19.3,87.7,61.4
Dec-24,40.7,107.2,19.3,82.0,51.1
Jan-25,29.4,107.2,19.3,67.1,38.4
Feb-25,19.6,107.2,19.3,58.0,29.3
Mar-25,16.6,107.2,19.3,53.3,21.0
Apr-25,20.3,107.2,19.3,60.0,27.1
May-25,30.1,107.2,19.3,69.1,37.0
Jun-25,41.3,107.2,19.3,75.6,46.4
Jul-25,52.5,107.4,19.3,81.1,53.6
Aug-25,62.8,107.4,19.3,88.4,62.0
Sep-25,70.6,107.4,19.3,89.4,67.8
Oct-25,76.2,107.4,19.3,91.0,69.9
Nov-25,70.2,107.4,19.3,87.7,61.4
Dec-25,60.3,107.4,19.3,82.0,51.1
Jan-26,49.6,107.4,19.3,67.1,38.4
Feb-26,40.4,107.4,19.3,58.0,29.3
Mar-26,37.5,107.4,19.3,53.3,21.0
Apr-26,40.5,107.4,19.3,60.0,27.1
May-26,48.7,107.4,19.3,69.1,37.0
Jun-26,57.5,107.4,19.3,75.6,46.4
Jul-26,67.3,107.7,19.4,81.1,53.6
Aug-26,76.0,107.7,19.4,88.4,62.0
Sep-26,83.0,107.7,19.4,89.4,67.8
Oct-26,87.7,107.7,19.4,91.0,69.9
Nov-26,79.7,107.7,19.4,87.7,61.4
Dec-26,67.6,107.7,19.4,82.0,51.1
Jan-27,53.8,107.7,19.4,67.1,38.4
Feb-27,42.4,107.7,19.4,58.0,29.3
Mar-27,39.5,107.7,19.4,53.3,21.0
Apr-27,43.8,107.7,19.4,60.0,27.1
May-27,55.1,107.7,19.4,69.1,37.0
Jun-27,68.1,107.7,19.4,75.6,46.4
Jul-27,81.5,107.7,19.4,81.1,53.6
Aug-27,94.2,107.7,19.4,88.4,62.0
Sep-27,105.0,107.7,19.4,89.4,67.8
Oct-27,107.7,107.7,19.4,91.0,69.9
Nov-27,103.4,107.7,19.4,87.7,61.4
Dec-27,93.7,107.7,19.4,82.0,51.1
Jan-28,70.5,107.7,19.4,67.1,38.4
Feb-28,52.8,107.7,19.4,58.0,29.3
Mar-28,45.3,107.7,19.4,53.3,21.0
Apr-28,49.4,107.7,19.4,60.0,27.1
May-28,60.4,107.7,19.4,69.1,37.0
Jun-28,72.5,107.7,19.4,75.6,46.4
Jul-28,84.7,107.7,19.4,81.1,53.6
Aug-28,96.0,107.7,19.4,88.4,62.0
Sep-28,104.9,107.7,19.4,89.4,67.8
Oct-28,107.7,107.7,19.4,91.0,69.9
Nov-28,98.5,107.7,19.4,87.7,61.4
Dec-28,80.3,107.7,19.4,82.0,51.1
Jan-29,63.4,107.7,19.4,67.1,38.4
Feb-29,50.3,107.7,19.4,58.0,29.3
Mar-29,46.8,107.7,19.4,53.3,21.0
Apr-29,50.5,107.7,19.4,60.0,27.1
May-29,61.1,107.7,19.4,69.1,37.0
Jun-29,72.8,107.7,19.4,75.6,46.4
Jul-29,84.1,107.7,19.4,81.1,53.6
Aug-29,94.6,107.7,19.4,88.4,62.0
Sep-29,103.2,107.7,19.4,89.4,67.8
Oct-29,107.7,107.7,19.4,91.0,69.9
Nov-29,100.5,107.7,19.4,87.7,61.4
Dec-29,87.3,107.7,19.4,82.0,51.1
Jan-30,69.5,107.7,19.4,67.1,38.4
Feb-30,55.2,107.7,19.4,58.0,29.3
Mar-30,51.8,107.7,19.4,53.3,21.0
Apr-30,55.5,107.7,19.4,60.0,27.1
May-30,65.9,107.7,19.4,69.1,37.0
Jun-30,77.4,107.7,19.4,75.6,46.4
Jul-30,89.2,107.7,19.4,81.1,53.6
Aug-30,100.1,107.7,19.4,88.4,62.0
Sep-30,107.7,107.7,19.4,89.4,67.8
Oct-30,107.7,107.7,19.4,91.0,69.9
Nov-30,100.5,107.7,19.4,87.7,61.4
Dec-30,87.1,107.7,19.4,82.0,51.1
